"","Colony","Timepoint","Mass.1.g","Mass.2.g","Mass.3.g","Mass.g","Std.dev","Weight.avg","Surface.Area"
"1","R-19-B",20190415,0.0371,0.0371,0.0371,0.0371,0,0.0371,8.30702743213973
"2","R-7-A",20190415,0.0377,0.0377,0.0377,0.0377,0,0.0377,8.44166708458039
"3","R-7-B",20190415,0.0635,0.0635,0.0634,0.063466667,5.77e-05,0.0634666666666667,14.2236921588374
"4","P-12-B",20190415,0.028,0.028,0.028,0.028,0,0.028,6.26499270345646
"5","P-4-B",20190415,0.0093,0.0092,0.0091,0.0092,1e-04,0.0092,2.04628359364925
"6","P-14-B",20190415,0.018,0.018,0.0183,0.0181,0.000173205,0.0181,4.04343843818564
"7","R-14-A",20190415,0.0256,0.0254,0.0255,0.0255,1e-04,0.0255,5.70399415162039
"8","R-14-B",20190415,0.0211,0.0209,0.0209,0.020966667,0.00011547,0.0209666666666667,4.68671677762433
"9","P-19-A",20190419,0.0379,0.0378,0.0378,0.037833333,5.77e-05,0.0378333333333333,8.47158700734498
"10","R-8-A",20190419,0.0599,0.0596,0.0599,0.0598,0.000173205,0.0598,13.4008942828112
"11","P-6-A",20190419,0.031,0.0309,0.031,0.030966667,5.77e-05,0.0309666666666667,6.93071098496859
"12","R-19-A",20190419,0.0127,0.0126,0.0125,0.0126,1e-04,0.0126,2.8092416241463
"13","R-5-B",20190419,0.0134,0.0132,0.0134,0.013333333,0.00011547,0.0133333333333333,2.97380119935155
"14","P-14-A",20190419,0.0289,0.0289,0.0289,0.0289,0,0.0289,6.46695218211744
"15","R-11-A",20190419,0.0326,0.0326,0.0326,0.0326,0,0.0326,7.29723003883481
"16","R-4-A",20190419,0.0178,0.0176,0.0176,0.017666667,0.00011547,0.0176666666666667,3.94619868920072
"17","P-15-B",20190419,0.0215,0.0215,0.0215,0.0215,4.25e-18,0.0215,4.80639646868269
"18","R-11-B",20190419,0.0258,0.0258,0.0257,0.025766667,5.77e-05,0.0257666666666667,5.76383399714957
"19","R-8-B",20190419,0.0258,0.0258,0.0257,0.025766667,5.77e-05,0.0257666666666667,5.76383399714957
"20","P-16-B",20190419,0.0377,0.0376,0.0375,0.0376,1e-04,0.0376,8.41922714250694
"21","P-3-B",20190419,0.0136,0.0134,0.0134,0.013466667,0.00011547,0.0134666666666667,3.00372112211614
"22","P-4-A",20190419,0.0298,0.0298,0.0298,0.0298,4.25e-18,0.0298,6.66891166077842
"23","R-18-B",20190419,0.0122,0.0124,0.0124,0.012333333,0.00011547,0.0123333333333333,2.74940177861712
"24","R-5-A",20190419,0.044,0.0439,0.0438,0.0439,1e-04,0.0439,9.83294349313383
"25","R-18-A",20190419,0.0174,0.0174,0.0174,0.0174,0,0.0174,3.88635884367154
"26","R-15-A",20190424,0.0292,0.0292,0.0291,0.029166667,5.77e-05,0.0291666666666667,6.52679202764662
"27","R-9-B",20190424,0.0301,0.03,0.0299,0.03,1e-04,0.03,6.71379154492531
"28","P-16-A",20190424,0.0571,0.0572,0.0572,0.057166667,5.77e-05,0.0571666666666667,12.8099758082105
"29","R-4-B",20190424,0.0234,0.0232,0.0233,0.0233,1e-04,0.0233,5.21031542600466
"30","P-6-B",20190424,0.0299,0.0298,0.0297,0.0298,1e-04,0.0298,6.66891166077842
"31","P-15-A",20190424,0.0348,0.0346,0.0348,0.034733333,0.00011547,0.0347333333333333,7.77594880306826
"32","P-3-A",20190424,0.0607,0.0606,0.0606,0.060633333,5.77e-05,0.0606333333333333,13.5878938000899
"33","P-10-B",20190424,0.0212,0.0211,0.0209,0.021066667,0.000152753,0.0210666666666667,4.70915671969777
"34","P-12-A",20190424,0.0723,0.0724,0.0723,0.072333333,5.77e-05,0.0723333333333333,16.2133670226827
"35","P-10-A",20190424,0.0179,0.0178,0.0179,0.017866667,5.77e-05,0.0178666666666667,3.99107857334761
"36","P-9-A",20190424,0.0118,0.0116,0.0116,0.011666667,0.00011547,0.0116666666666667,2.59980216479417
"37","R-9-A",20190424,0.028,0.028,0.028,0.028,0,0.028,6.26499270345646
"38","R-15-B",20190424,0.0184,0.0184,0.0183,0.018366667,5.77e-05,0.0183666666666667,4.10327828371482
"39","P-19-B",20190424,0.0088,0.0087,0.0087,0.008733333,5.77e-05,0.00873333333333333,1.94156386397319
"40","P-9-B",20190424,0.0143,0.0143,0.0142,0.014266667,5.77e-05,0.0142666666666667,3.18324065870368
