"","coral.id","Origin","Treatment","Transplant.Site","Cell.ml.DF","Homo.Vol.mL","Surface.Area","Cells.mL.vol","Cells.cm2","Cells.cm2.x6"
"1","P-10-A","Patch","Ambient","Patch",202916.666666667,20,3.99107857334761,4058333.33333333,1016851.27434846,1.01685127434846
"2","P-10-B","Patch","Ambient","Rim",345000,11.5,4.70915671969777,3967500,842507.530786665,0.842507530786665
"3","P-12-A","Patch","Hot","Patch",444166.666666667,22.5,16.2133670226827,9993750,616389.549809032,0.616389549809032
"4","P-12-B","Patch","Hot","Rim",310277.777777778,17.5,6.26499270345646,5429861.11111111,866698.7126921,0.8666987126921
"5","P-14-A","Patch","Hot","Patch",246666.666666667,14.5,6.46695218211744,3576666.66666667,553068.364500505,0.553068364500505
"6","P-14-B","Patch","Hot","Rim",320833.333333333,17.5,4.04343843818564,5614583.33333333,1388566.54284879,1.38856654284879
"7","P-15-A","Patch","Hot","Patch",469166.666666667,19,7.77594880306826,8914166.66666667,1146376.71780314,1.14637671780314
"8","P-15-B","Patch","Hot","Rim",350277.777777778,12,4.80639646868269,4203333.33333333,874529.04909556,0.87452904909556
"9","P-16-A","Patch","Hot","Patch",378333.333333333,17.5,12.8099758082105,6620833.33333333,516849.792104193,0.516849792104193
"10","P-16-B","Patch","Hot","Rim",504444.444444444,17.5,8.41922714250694,8827777.77777778,1048525.90723062,1.04852590723062
"11","P-19-A","Patch","Hot","Patch",450833.333333333,17,8.47158700734498,7664166.66666667,904690.781080538,0.904690781080538
"12","P-19-B","Patch","Hot","Rim",175208.333333333,10,1.94156386397319,1752083.33333333,902408.293563877,0.902408293563877
"13","P-3-A","Patch","Ambient","Patch",425555.555555556,19,13.5878938000899,8085555.55555556,595055.839743321,0.595055839743321
"14","P-3-B","Patch","Ambient","Rim",310000,9,3.00372112211614,2790000,928847.881202243,0.928847881202243
"15","P-4-A","Patch","Ambient","Patch",674166.666666667,17,6.66891166077842,11460833.3333333,1718546.28105774,1.71854628105774
"16","P-4-B","Patch","Ambient","Rim",226944.444444444,14,2.04628359364925,3177222.22222222,1552679.3217142,1.5526793217142
"17","P-6-A","Patch","Ambient","Patch",408750,16.5,6.93071098496859,6744375,973114.448810127,0.973114448810127
"18","P-6-B","Patch","Ambient","Rim",393333.333333333,17,6.66891166077842,6686666.66666667,1002662.35433777,1.00266235433777
"19","P-9-A","Patch","Ambient","Patch",97777.7777777778,12,2.59980216479417,1173333.33333333,451316.392155642,0.451316392155642
"20","P-9-B","Patch","Ambient","Rim",351875,12.5,3.18324065870368,4398437.5,1381748.34126151,1.38174834126151
"21","R-11-A","Rim","Hot","Patch",286111.111111111,14,7.29723003883481,4005555.55555556,548914.524311083,0.548914524311083
"22","R-11-B","Rim","Hot","Rim",382500,12,5.76383399714957,4590000,796344.933297858,0.796344933297858
"23","R-14-A","Rim","Hot","Patch",359444.444444444,15,5.70399415162039,5391666.66666667,945244.07342441,0.94524407342441
"24","R-14-B","Rim","Hot","Rim",120740.740740741,18,4.68671677762433,2173333.33333333,463721.926554091,0.463721926554091
"25","R-15-A","Rim","Hot","Patch",239375,15,6.52679202764662,3590625,550136.266758707,0.550136266758707
"26","R-15-B","Rim","Hot","Rim",211296.296296296,12.5,4.10327828371482,2641203.7037037,643681.349662822,0.643681349662822
"27","R-18-A","Rim","Hot","Patch",577500,11.5,3.88635884367154,6641250,1708861.75650364,1.70886175650364
"28","R-18-B","Rim","Hot","Rim",205277.777777778,12.5,2.74940177861712,2565972.22222222,933283.830023869,0.933283830023869
"29","R-19-A","Rim","Hot","Patch",493888.888888889,12.5,2.8092416241463,6173611.11111111,2197607.73087192,2.19760773087192
"30","R-19-B","Rim","Hot","Rim",314444.444444444,19.5,8.30702743213973,6131666.66666667,738130.061174875,0.738130061174875
"31","R-4-A","Rim","Ambient","Patch",315000,15,3.94619868920072,4725000,1197354.81462973,1.19735481462973
"32","R-4-B","Rim","Ambient","Rim",310833.333333333,17,5.21031542600466,5284166.66666667,1014174.04410747,1.01417404410747
"33","R-5-A","Rim","Ambient","Patch",491388.888888889,16,9.83294349313383,7862222.22222222,799579.721749878,0.799579721749878
"34","R-5-B","Rim","Ambient","Rim",158125,9,2.97380119935155,1423125,478554.181870099,0.478554181870099
"35","R-7-A","Rim","Ambient","Patch",305277.777777778,17.5,8.44166708458039,5342361.11111111,632856.171368035,0.632856171368035
"36","R-7-B","Rim","Ambient","Rim",331944.444444444,28,14.2236921588374,9294444.44444444,653448.087926289,0.653448087926289
"37","R-8-A","Rim","Ambient","Patch",662916.666666667,22.5,13.4008942828112,14915625,1113032.06228048,1.11303206228048
"38","R-8-B","Rim","Ambient","Rim",361944.444444444,15.5,5.76383399714957,5610138.88888889,973334.570645739,0.973334570645739
"39","R-9-A","Rim","Ambient","Patch",417500,14.5,6.26499270345646,6053750,966282.051160265,0.966282051160265
"40","R-9-B","Rim","Ambient","Rim",206875,12.5,6.71379154492531,2585937.5,385167.97590396,0.38516797590396
